ImageNumber	ObjectNumber	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	AreaShape_Zernike_0_0	AreaShape_Zernike_1_1	AreaShape_Zernike_2_0	AreaShape_Zernike_2_2	AreaShape_Zernike_3_1	AreaShape_Zernike_3_3	AreaShape_Zernike_4_0	AreaShape_Zernike_4_2	AreaShape_Zernike_4_4	AreaShape_Zernike_5_1	AreaShape_Zernike_5_3	AreaShape_Zernike_5_5	AreaShape_Zernike_6_0	AreaShape_Zernike_6_2	AreaShape_Zernike_6_4	AreaShape_Zernike_6_6	AreaShape_Zernike_7_1	AreaShape_Zernike_7_3	AreaShape_Zernike_7_5	AreaShape_Zernike_7_7	AreaShape_Zernike_8_0	AreaShape_Zernike_8_2	AreaShape_Zernike_8_4	AreaShape_Zernike_8_6	AreaShape_Zernike_8_8	AreaShape_Zernike_9_1	AreaShape_Zernike_9_3	AreaShape_Zernike_9_5	AreaShape_Zernike_9_7	AreaShape_Zernike_9_9	Granularity_1_BF_image	Granularity_2_BF_image	Granularity_3_BF_image	Granularity_4_BF_image	Granularity_5_BF_image	Intensity_IntegratedIntensityEdge_BF_image	Intensity_IntegratedIntensity_BF_image	Intensity_LowerQuartileIntensity_BF_image	Intensity_MADIntensity_BF_image	Intensity_MassDisplacement_BF_image	Intensity_MaxIntensityEdge_BF_image	Intensity_MaxIntensity_BF_image	Intensity_MeanIntensityEdge_BF_image	Intensity_MeanIntensity_BF_image	Intensity_MedianIntensity_BF_image	Intensity_MinIntensityEdge_BF_image	Intensity_MinIntensity_BF_image	Intensity_StdIntensityEdge_BF_image	Intensity_StdIntensity_BF_image	Intensity_UpperQuartileIntensity_BF_image	Location_CenterMassIntensity_X_BF_image	Location_CenterMassIntensity_Y_BF_image	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_BF_image	Location_MaxIntensity_Y_BF_image	Number_Object_Number	RadialDistribution_FracAtD_BF_image_1of4	RadialDistribution_FracAtD_BF_image_2of4	RadialDistribution_FracAtD_BF_image_3of4	RadialDistribution_FracAtD_BF_image_4of4	RadialDistribution_MeanFrac_BF_image_1of4	RadialDistribution_MeanFrac_BF_image_2of4	RadialDistribution_MeanFrac_BF_image_3of4	RadialDistribution_MeanFrac_BF_image_4of4	RadialDistribution_RadialCV_BF_image_1of4	RadialDistribution_RadialCV_BF_image_2of4	RadialDistribution_RadialCV_BF_image_3of4	RadialDistribution_RadialCV_BF_image_4of4	Texture_AngularSecondMoment_BF_image_3_0	Texture_AngularSecondMoment_BF_image_3_135	Texture_AngularSecondMoment_BF_image_3_45	Texture_AngularSecondMoment_BF_image_3_90	Texture_Contrast_BF_image_3_0	Texture_Contrast_BF_image_3_135	Texture_Contrast_BF_image_3_45	Texture_Contrast_BF_image_3_90	Texture_Correlation_BF_image_3_0	Texture_Correlation_BF_image_3_135	Texture_Correlation_BF_image_3_45	Texture_Correlation_BF_image_3_90	Texture_DifferenceEntropy_BF_image_3_0	Texture_DifferenceEntropy_BF_image_3_135	Texture_DifferenceEntropy_BF_image_3_45	Texture_DifferenceEntropy_BF_image_3_90	Texture_DifferenceVariance_BF_image_3_0	Texture_DifferenceVariance_BF_image_3_135	Texture_DifferenceVariance_BF_image_3_45	Texture_DifferenceVariance_BF_image_3_90	Texture_Entropy_BF_image_3_0	Texture_Entropy_BF_image_3_135	Texture_Entropy_BF_image_3_45	Texture_Entropy_BF_image_3_90	Texture_Gabor_BF_image_3	Texture_InfoMeas1_BF_image_3_0	Texture_InfoMeas1_BF_image_3_135	Texture_InfoMeas1_BF_image_3_45	Texture_InfoMeas1_BF_image_3_90	Texture_InfoMeas2_BF_image_3_0	Texture_InfoMeas2_BF_image_3_135	Texture_InfoMeas2_BF_image_3_45	Texture_InfoMeas2_BF_image_3_90	Texture_InverseDifferenceMoment_BF_image_3_0	Texture_InverseDifferenceMoment_BF_image_3_135	Texture_InverseDifferenceMoment_BF_image_3_45	Texture_InverseDifferenceMoment_BF_image_3_90	Texture_SumAverage_BF_image_3_0	Texture_SumAverage_BF_image_3_135	Texture_SumAverage_BF_image_3_45	Texture_SumAverage_BF_image_3_90	Texture_SumEntropy_BF_image_3_0	Texture_SumEntropy_BF_image_3_135	Texture_SumEntropy_BF_image_3_45	Texture_SumEntropy_BF_image_3_90	Texture_SumVariance_BF_image_3_0	Texture_SumVariance_BF_image_3_135	Texture_SumVariance_BF_image_3_45	Texture_SumVariance_BF_image_3_90	Texture_Variance_BF_image_3_0	Texture_Variance_BF_image_3_135	Texture_Variance_BF_image_3_45	Texture_Variance_BF_image_3_90
6	92	654	357.0	84.0	1.0021907406	0.26798849126	1.0	0.778571428571	0.912469963946	29.4443636487	29.4278779391	13.6014705087	5.04988954864	4.472135955	27.0	28.3673510536	-83.4744528678	94.904	0.954048140044	0.961545799373	0.00756050877479	0.0348310867568	0.017372442473	0.00596873124022	0.0150465210692	0.0283413285007	0.0170543615996	0.00531586610152	0.00397944891571	0.010600477545	0.010112408859	0.0202576515506	0.016179070309	0.00262981079219	0.00767240752923	0.00237452875968	0.00611428871195	0.00619502065948	0.00317391223774	0.0119888057392	0.0144427927986	0.00419798888258	0.00393813541487	0.00781316625228	0.00186190962378	0.00256532866457	0.00327948482767	0.00148033064605	0.00615736681605	3.73202878795	3.75117798926	4.5584101626	6.43166131927	8.0611299023	0.206412613159	1.25797017129	0.000964053411735	0.000915541313589	0.180823796593	0.00227359402925	0.00592050049454	0.00184296976035	0.00192350179096	0.00189211871475	0.000946058891714	0.0	0.000214834912537	0.00119856490924	0.00280766002834	357.658022101	83.5631038975	357.48470948	83.6146788991	361.0	75.0	92	0.0732766	0.283903	0.375676	0.267144	1.29521305174	1.56027495561	1.13746445543	0.619546296115	0.159997668059	0.0688832659175	0.129388558723	0.0710784517524	0.0406858306926	0.0341926720362	0.0350083876848	0.0402400738689	4.79078014184	4.81167608286	5.22787193974	3.61228070175	0.138317613976	0.109013652901	0.0386035002245	0.345064485606	1.6198314751	1.6404341465	1.67040979081	1.52648979952	2.03659272672	2.12108766815	2.09410521313	1.69624192059	3.42800708639	3.53022406481	3.52827923167	3.43161380845	3.04366866289	-0.107340903382	-0.059649823475	-0.0605071292236	-0.10161154486	0.56765468993	0.441780736486	0.444739019379	0.554819359202	0.434908561204	0.452305338547	0.411823314994	0.501777081201	6.40780141844	6.64218455744	6.62900188324	6.39824561404	2.19871265524	2.28088621131	2.23381502314	2.31940773083	6.32660580454	5.98872893769	5.64578789265	7.41859341336	2.82060761531	2.68422937924	2.76491429666	2.76489996922
6	93	804	357.0	137.0	1.00162210242	0.313892625717	1.0	0.761363636364	0.909669402788	32.8554468787	32.4499614792	15.2970585408	5.58611874039	5.0	30.405591591	31.1948829002	74.6523813189	105.388	0.95486935867	0.969620884068	0.00730742648676	0.0278635568303	0.0234839217559	0.00605774603604	0.00366622421774	0.0232213276855	0.0205815129762	0.0035153430034	0.00423225561241	0.00304844316635	0.00467959861869	0.0171518976981	0.016866409087	0.00440222751987	0.00526436011773	0.00218131746637	0.00246065587822	0.00325441477151	0.000554403081116	0.0105264972006	0.0129405023134	0.0051327530629	0.00420592601562	0.00353426814875	0.000857335818048	0.00205469617692	0.00186137263507	0.00198680373097	0.00440713966094	0.925094737615	1.09461716408	5.67031354389	5.63426999142	5.18604686128	0.234573495691	1.63187277861	0.000721061252989	0.00106813106686	0.197965695268	0.00270084664226	0.00723277684301	0.00186169441024	0.0020296925107	0.00164797436446	0.00140383001417	0.0	0.000245109623091	0.00157883494566	0.00327324518003	357.565586613	137.786406169	357.368159204	137.800995025	354.0	143.0	93	0.102685	0.404225	0.226616	0.266474	1.75657372842	2.2260049704	0.703473110687	0.608649975536	0.0856068138468	0.0908247421533	0.242041610333	0.0753991154766	0.0604858910518	0.0493359017643	0.0489565617914	0.0642296008801	2.86666666667	4.38980509745	4.35119047619	2.70380818054	0.578838377493	0.365926937821	0.364855647571	0.601579841337	1.43613573379	1.58803615896	1.60166105374	1.4085771843	1.36821286656	1.90220931513	1.84424603175	1.2427444045	3.21635809668	3.34366479622	3.35039771951	3.190107875	2.53557785177	-0.166326599097	-0.119725096168	-0.121014146976	-0.183743090365	0.666557294379	0.590103891454	0.592887336932	0.690088738605	0.538247462828	0.456124783395	0.455507244478	0.538310283428	5.71773049645	5.87706146927	5.88095238095	5.71086036671	2.28337851231	2.30795741411	2.2873396489	2.25301323759	10.7416005231	9.45415148498	9.34892290249	10.8684434065	3.3876082692	3.47518144975	3.40844671202	3.39090596223
6	94	789	356.0	190.0	1.00842788849	0.406286639398	1.0	0.7705078125	0.906892307445	33.2452993882	32.7566787083	14.3178210633	5.44033513545	5.0	29.516097303	30.3777486768	31.5569250225	104.56	0.954627949183	0.921081089835	0.0136986535986	0.0654368719183	0.0368061199277	0.00764314706011	0.0124229315114	0.044789324831	0.0189601830545	0.0147915098166	0.00564601796514	0.0104433487814	0.0169653634504	0.0252247126493	0.0038786120912	0.0031162507612	0.0109696682872	0.00584112631549	0.00961320346287	0.00539552418314	0.00704546857436	0.0118822579405	0.00562866063999	0.00737374325553	0.000878543590962	0.00454328971883	0.00364048866821	0.00568960464052	0.00227306041942	0.00618676983733	0.0025274521621	1.10486065583	3.80494682538	4.99850976359	8.80323407697	1.67072120647	0.202896045637	1.4745493968	0.000778210349381	0.000900282524526	0.0653109054995	0.00212100427598	0.00606299843639	0.00163625843256	0.00186888389962	0.00151064340025	0.0010528722778	0.0	0.000207275449735	0.00140689245704	0.00280726910569	357.210623848	191.351689808	357.209125475	191.416983523	358.0	186.0	94	0.0850159	0.388995	0.254789	0.271199	1.63603726356	2.14627569747	0.752917114603	0.633065649744	0.159764823057	0.133285645929	0.382083894094	0.0865055187777	0.0483353427076	0.0407903709524	0.0395598710285	0.048581048581	3.18181818182	5.33179723502	4.78267477204	3.23088023088	0.577953067058	0.308425490398	0.374566541882	0.571148082526	1.47500106479	1.67359321322	1.63676507543	1.47711606036	1.40788632564	2.18403448788	1.97272059571	1.54050502968	3.41637822797	3.53910605808	3.57429676983	3.4612737572	3.17755273958	-0.168760759103	-0.125794373733	-0.10739596257	-0.144777148757	0.683846585477	0.61535592824	0.577728174236	0.646692392672	0.503544944721	0.413407292231	0.432891593405	0.526639850169	6.11688311688	6.2841781874	6.27811550152	6.11976911977	2.38335933682	2.34244490501	2.3824453896	2.40590698309	11.8954292461	10.0866774736	10.5107976645	11.8341402064	3.78373718633	3.87194933471	3.80850139965	3.74371211601
6	95	428	356.0	248.0	1.03842846109	0.483567955763	1.0	0.715719063545	0.73590710995	25.3518282218	26.2488094968	10.0	3.81514783358	3.16227766017	20.8333242009	22.1906281858	78.3008522295	85.49	0.898216159496	0.79092383911	0.0622713004427	0.131518458875	0.0396102151822	0.0143721958517	0.0209039116743	0.044003343583	0.0172492459233	0.03562113967	0.0191015432015	0.0138733775516	0.0215472870234	0.00193756500978	0.0137217423157	0.00221507589937	0.0215203769266	0.0159484787333	0.00760634729858	0.00268187856543	0.00558143197373	0.000595235517543	0.00417835315714	0.00588107948813	0.00363706267857	0.00886373811114	0.00878625912839	0.00741307537406	0.00879751181177	0.00676423670697	0.0027624651424	5.62227950606	14.5233857058	12.9644088739	6.68209370027	0.0	0.153766801872	0.775223806924	0.000808727927506	0.000767141696997	0.269490493001	0.00233463011682	0.00679907156155	0.00156904899869	0.00181127057693	0.00151483353693	0.000427252613008	0.0	0.000360354707349	0.00141363082308	0.00249159126543	357.207125104	248.197694616	356.978971963	248.341121495	362.0	251.0	95	0.0748362	0.251658	0.341061	0.332444	1.45590414784	1.53871160235	1.01370916019	0.741073907663	0.288328034839	0.323773149854	0.533840510302	0.0886598734049	0.0448060409636	0.0387716523282	0.0377229080933	0.0506850597672	5.85549132948	6.02173913043	6.88271604938	4.90223463687	0.0283065118765	0.0115548564899	-0.137735199829	0.173833006997	1.71018988239	1.75158032579	1.79929326523	1.65397341322	2.34799024358	2.51484317735	2.83318091754	2.35829874224	3.43497336867	3.49620952597	3.48317656764	3.36841354273	10.7529235193	-0.0479676971427	-0.0474310666843	-0.0476611713651	-0.0718088861283	0.394918348898	0.395977049482	0.395488987572	0.47111657806	0.398089057069	0.412962042451	0.390892053441	0.483046978068	5.56069364162	5.75465838509	5.72839506173	5.5	2.19886100243	2.24701985013	2.1798682532	2.24101823298	6.19429316048	6.1603043864	5.2163542143	6.96508379888	2.94403421431	3.05844681918	2.97367017223	2.96611372928
6	96	914	357.0	303.0	1.00143245073	0.302570560247	1.0	0.791341991342	0.916055263722	34.9571430349	34.9284983931	16.4924225025	5.94593265556	5.09901951359	32.0	33.3185964649	86.6286264025	111.974	0.963626779125	0.949322378421	0.0291546679674	0.0452589918789	0.0193950700803	0.0229749836168	0.00427282574968	0.035832647951	0.0137630519655	0.00111974576122	0.0147386110271	0.00151167103883	0.00192821982847	0.0247257776066	0.00779962355567	0.0026156795536	0.00592942778031	0.00700741374986	0.00364044508226	0.00173713921069	0.00203204973361	0.0143922193505	0.0041430111149	0.00366527278889	0.00396036966501	0.00416923819058	0.0038447162337	0.00528087892653	0.00305445510431	0.00108329006726	0.00513168549268	1.37715267146	3.36800310163	6.9270538489	2.0466941956	1.37796441078	0.203835294233	1.52074042047	0.000498132663779	0.000859906780533	0.313327883921	0.00221255794168	0.00697337277234	0.00154420677449	0.0016638297817	0.00125664181542	0.00111390836537	0.0	0.000202644949369	0.00146221546172	0.00267343316227	357.596260126	303.253687495	357.283369803	303.2702407	363.0	303.0	96	0.11847	0.449597	0.182987	0.248946	2.00520810926	2.41724745631	0.574743623791	0.570266518452	0.116275895201	0.114858864988	0.19137244712	0.083285915868	0.0993749245585	0.0812548490471	0.0812242296007	0.103824758177	2.27935723115	3.09480519481	3.359375	1.7963190184	0.620945080045	0.493992641294	0.453058940807	0.69933328032	1.34051779581	1.45372705913	1.48589447623	1.26177590339	1.22676746919	1.5565609715	1.62301974826	0.944944860552	2.92051615251	3.0678398123	3.04601390026	2.8725620088	3.6746921791	-0.194251797286	-0.13907059063	-0.149867433055	-0.224152253693	0.684657604131	0.607319484201	0.625343778102	0.718792681441	0.601948363411	0.544250207662	0.521027042314	0.622880937179	5.04079110012	5.17532467532	5.171875	5.03312883436	2.11669053172	2.18014359773	2.15434089445	2.12201968068	9.74493682781	9.13679372575	8.92358398438	10.1522767135	3.01629229878	3.04880418283	3.08544243707	2.98848432384
6	97	641	358.0	358.0	1.00273789162	0.357931817395	1.0	0.763095238095	0.916836988198	29.5943434609	29.2745623366	13.6014705087	5.0274697782	4.472135955	26.8700576851	27.6336508819	62.2900771559	93.732	0.954579300074	0.94978867998	0.00728993987612	0.0452783031912	0.0299377891963	0.00535787007925	0.00127111621629	0.0364257058547	0.0243849430579	0.00943614535687	0.00316896833131	0.000956289658807	0.0034270680959	0.025374634324	0.0179751338559	0.00692768200176	0.00503085493815	0.00229219299471	0.00258238248037	0.00135624849057	0.00238370367467	0.0140631689474	0.0123771866597	0.00535193536984	0.00271831712512	0.00444573398465	0.00282403858726	0.00356404637222	0.000871974662838	0.000866888706931	0.00332139242444	7.17376912844	5.54824325508	6.86566940791	0.0	4.33746395671	0.227806325885	1.31764111955	0.00128175783902	0.000666626321618	0.231538536957	0.00263981055468	0.00822282675654	0.00203398505255	0.0020556023706	0.00207009492442	0.00100556074176	0.0	0.00023618376294	0.00122002150949	0.00266651413403	357.590947736	357.669362643	357.424336973	357.508580343	349.0	357.0	97	0.0808577	0.215545	0.424755	0.278843	1.32896938022	1.18089101381	1.32813508322	0.638350854175	0.225426121071	0.162440815553	0.0774848891722	0.056774708191	0.0638239004483	0.0645637363784	0.062926111532	0.067155736199	3.08529945554	3.2277992278	2.77290076336	2.7486535009	-0.024228981634	-0.0879536774186	0.0512819594616	0.0757344185552	1.44666169708	1.47008374947	1.39686219318	1.3956642996	1.44355255747	1.4739643118	1.18164369792	1.39103107504	2.99015994363	2.98933688952	2.99112892613	2.96426159664	6.4578307939	-0.0428905119358	-0.0432962472657	-0.0365469742082	-0.0529347274595	0.350584954585	0.352566099349	0.325390906967	0.38658410537	0.517209169982	0.505367659454	0.507355237694	0.555030625156	5.22323049002	5.37451737452	5.37595419847	5.22980251346	1.91838628707	1.86741674713	1.93412853338	1.95371593854	2.93927885613	2.70529658174	3.07049050172	3.19674197177	1.50875655877	1.48622188101	1.48579264029	1.49818371695
6	98	765	357.0	412.0	1.00272422179	0.364498222884	1.0	0.796875	0.918263272445	32.3620854882	32.0156211872	15.0	5.47616513602	5.0	29.0	30.1357061639	67.7726655173	102.318	0.962264150943	0.945357068722	0.0209468745113	0.0482941780692	0.0317603856155	0.0159503981016	0.00635232163189	0.0371593054857	0.0245388499538	0.00230507332815	0.0100699365793	0.00283747010129	0.00658082290969	0.0238407678722	0.0161966441502	0.00355003165076	0.00341492682024	0.00691314279073	0.0010515518106	0.00652877269188	0.0048920741137	0.011141083992	0.00876501467904	0.00411246805022	0.0027050663989	0.0010015278598	0.00751698765667	0.00267918394024	0.00588853890609	0.00457182105219	0.00296355462235	1.66363482424	2.4992764565	6.07030095254	5.84903193887	2.90175307379	0.227642795653	1.5096164567	0.000873578712344	0.000922601146158	0.385043071655	0.00236514862627	0.0062256809324	0.00189702329711	0.00197335484536	0.00169375166297	0.00137331243604	0.0	0.000206380406328	0.00136616630101	0.00296342378715	357.77956482	412.4421214	357.530718954	412.735947712	353.0	413.0	98	0.0938471	0.386974	0.231711	0.287468	1.66960531196	2.0416222708	0.709034885466	0.67251691851	0.118172695078	0.0679462709902	0.285585493602	0.0888043895267	0.0444475725097	0.0368642279238	0.0385714568253	0.0454606310014	3.53512705531	4.68362480127	4.8820754717	2.61037037037	0.492833908738	0.337075660647	0.306425194557	0.623536418016	1.49502742258	1.62987537842	1.6435505333	1.3809997933	1.53981245015	1.92876370245	2.18235779835	1.06172839506	3.43411894983	3.54899658168	3.5176059456	3.39842841038	5.69121462349	-0.145449048319	-0.104296853669	-0.118408368918	-0.161516123142	0.645568129486	0.568883304403	0.598345236377	0.671031955877	0.484241847919	0.434351421539	0.455198139743	0.509447293447	6.24364723468	6.42925278219	6.39779874214	6.22518518519	2.30799707889	2.35356157095	2.3160953464	2.38259711753	10.4055089697	9.44054332084	9.19552974566	11.2529953361	3.48983937385	3.45982342578	3.5094611566	3.43858216735
6	99	799	354.0	467.0	1.04700416916	0.248169290263	1.0	0.712121212121	0.637910753846	33.164453383	33.9558536927	12.7279220614	4.68848447333	4.12310562562	31.8198051534	32.1269591283	-61.0041917374	125.458	0.890746934225	0.87909398491	0.0365220222849	0.0669280156003	0.0122850334232	0.0052148647547	0.0342723234241	0.0197463836654	0.0159117769195	0.0408528062094	0.0137754982471	0.0159383449166	0.00161696441889	0.0130196436314	0.0150989514183	0.00647504364319	0.0135700134492	0.00440711513315	0.00996661311439	0.00509340984757	0.0158554035486	0.020109761138	0.00876130417507	0.000972876897267	0.00885398527586	0.0085425485787	0.00267812651127	0.00499070059733	0.00272973503105	0.0158725441411	0.00485525973881	0.302480154777	0.592620393606	3.30095603243	2.53875319072	0.0	0.22386063775	1.56396653906	0.000854505226016	0.000671396963298	0.765377644427	0.00209048669785	0.006967428606	0.00150242038759	0.00195740492999	0.00144655199256	0.000686655752361	0.0	0.000304278604921	0.00156015287008	0.00264744088054	357.032669641	467.089505066	356.294117647	467.290362954	357.0	464.0	99	0.10139	0.287562	0.299199	0.31185	2.31458640077	1.93077391386	0.948649238499	0.63401464189	0.118825214452	0.346696025756	0.734026843015	0.077546525396	0.0691623063507	0.0639357149096	0.0627699990995	0.0744423440454	1.99269005848	3.10436137072	3.1263650546	1.63623188406	0.730073669005	0.590026216714	0.589687995584	0.776594960837	1.27980738878	1.42737815208	1.4523967908	1.20008734837	0.893871191136	1.36377024679	1.25872941314	0.729596723377	3.16715392515	3.26308366382	3.26232699271	3.08356202833	2.07652501896	-0.209072740761	-0.183846320473	-0.180978131519	-0.251333597808	0.725454010803	0.695395673023	0.691661314014	0.768739296928	0.567170093408	0.503902538729	0.483841000699	0.592114236999	5.6798245614	5.83021806854	5.81903276131	5.6652173913	2.30617345234	2.28451403622	2.29623762934	2.3136366311	12.755674823	12.0350370241	12.1107765996	13.0024133585	3.65549015082	3.75542745121	3.83402493666	3.64105019954
6	100	751	357.0	524.0	1.00033640919	0.202384769615	1.0	0.781477627471	0.922470265165	31.2672365394	31.064449134	15.0332963784	5.43610436125	5.0	29.6984848098	30.6201949548	-51.2253789532	101.146	0.960972488804	0.984536460716	0.00470873572773	0.014853291883	0.0101733914553	0.00456967994212	0.00436856054314	0.0136921077149	0.00949939148712	0.0058234460934	0.00433285669438	0.00343396809702	0.00702749228905	0.0120907963143	0.00855439316082	0.00518189862818	0.00333536181567	0.00398940887788	0.00250346474717	0.00683419056795	0.00722328958206	0.0101964506743	0.0074283616391	0.00441058927101	0.00245939008919	0.00246162087309	0.00352651369538	0.00212792863431	0.00668546385993	0.0062913300744	0.00119909716979	2.26279769694	4.18544809184	5.7990211309	5.60877837372	15.1910822522	0.191766069387	1.28395831065	0.000597168851527	0.000971883229795	0.481148671384	0.0021591943223	0.00527962204069	0.00159805057823	0.00170966486105	0.00144960731268	0.00100949674379	0.0	0.000238763523077	0.00133517492346	0.00273899454623	357.2456461	524.073030744	356.777629827	523.96138482	360.0	530.0	100	0.0844002	0.362144	0.302169	0.251286	1.34860732169	2.02962890534	0.930037639058	0.578883465722	0.250250683439	0.14340929173	0.249768774526	0.161537109745	0.0407839912787	0.0326764611615	0.0310757096886	0.0402065760664	4.95440729483	5.82958199357	7.73021001616	4.75683890578	0.423026242726	0.322202783418	0.107593096735	0.446294457661	1.63979308186	1.7347012747	1.84195692382	1.63988511128	2.11891981781	2.6449064836	3.24457342997	2.09270054785	3.6117447251	3.72334402941	3.74135196316	3.60783702471	8.2007395539	-0.10004696439	-0.0687922412837	-0.0585473878214	-0.101054892917	0.563380276004	0.483111874601	0.450136411706	0.564832755911	0.435391744879	0.439711487833	0.385417615073	0.45059911911	6.46504559271	6.68488745981	6.68336025848	6.45896656535	2.4641661811	2.50813894064	2.43013906751	2.45169710947	12.2092645116	11.3669420291	9.58956156811	12.4246080506	4.34364288948	4.2514862336	4.38905316564	4.29811485481
6	101	778	358.0	578.0	1.00282590305	0.348751565305	1.0	0.784274193548	0.908581643411	32.5390099132	32.2490309932	14.8660687473	5.49223979984	5.0	29.9853622826	30.4960549368	65.043243553	103.732	0.957538461538	0.948052240758	0.0361569449602	0.0441025110233	0.0268422815561	0.0264161332397	0.0111697789246	0.0312256128885	0.0175984170049	0.00313451341468	0.0143514810304	0.00439318830595	0.00470430379095	0.0175770895867	0.0085588302151	0.00631700162221	0.00306947411851	0.00477285407592	0.0011937513213	0.00321599748113	0.00238625411435	0.00690547665764	0.00367222652702	0.00813293183051	0.000289493091761	0.00166856485357	0.00480171006469	0.00316627189668	0.00224256302523	0.002577198293	0.000908688822399	0.565557055802	1.32313162425	4.57471580588	1.44404529829	0.509787486258	0.21093181055	1.49845314444	0.000787794444477	0.000686655752361	0.182913002405	0.00207522697747	0.00654612015933	0.00172894926681	0.00192603231933	0.00141908880323	0.00131227634847	0.0	0.000165232057744	0.00159496762169	0.00243941624649	357.863952644	577.802625518	357.681233933	577.811053985	361.0	575.0	101	0.155633	0.404	0.161133	0.279234	2.63222849434	2.1979844691	0.505491189659	0.637078837391	0.0544297493266	0.0528727756514	0.178345308671	0.0418385370322	0.0647999243213	0.0534729033467	0.0567272519433	0.0669508231659	2.65249266862	4.52574102964	3.91049382716	2.27153284672	0.688336678931	0.482534494005	0.551019322352	0.732207983497	1.35544218215	1.61248048577	1.55789952187	1.32576892869	1.22443262442	2.11622343209	1.75213382106	1.06634556982	3.21576344945	3.38155055223	3.31831022511	3.16493023675	2.69546280711	-0.188068016782	-0.125013718427	-0.154250446143	-0.213603042525	0.697964458162	0.603207887218	0.652725537781	0.728796163195	0.538606839081	0.475845693287	0.487395955533	0.562529973247	5.88123167155	6.05772230889	6.02160493827	5.87153284672	2.27843937661	2.31789201181	2.30446141274	2.31334970263	14.3685920314	12.965466887	13.5087924859	14.6929852416	4.26728571306	4.34203577191	4.35950836382	4.22981725185
